policy,fold,delivery_date,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
A4,fold_3,2022-08-21,24,1,2022-08-21,2022-08-21,68.61459788526649,84.36697155197702,36.45368631092308,18.226843155461548,63.16819843749636,5.446399447770129,47.92561606511964,47.92561606511964,54.78454046459408,0,0,0.375,9,14,1,88.88882992284876,88.88882992284874,88.8888299228488,0.7916666666666666,19,5,0,156.98217095998191,156.98217095998194,156.98217095998194,0.8333333333333334,20,4,0,249.2879941324638,249.2879941324638,249.28799413246384
A4,fold_3,2022-08-22,24,1,2022-08-22,2022-08-22,38.75449929882783,54.69520548249557,24.43004127517366,12.215020637586832,44.74692947992855,-5.992430181100725,-23.960219130778228,23.960219130778228,41.093198036085006,0,0,0.7083333333333334,17,0,7,90.36625864519567,90.36625864519567,90.36625864519567,0.875,21,0,3,160.96276786976478,160.96276786976478,160.96276786976478,0.9166666666666666,22,0,2,256.87344894002166,256.8734489400216,256.8734489400217
A4,fold_3,2022-08-23,24,1,2022-08-23,2022-08-23,34.800943215011095,43.28219993809045,20.153349513090642,10.076674756545321,52.1667455402677,-17.3658023252566,-34.800943215011095,34.8009432150111,22.467120893275574,0,0,0.5833333333333334,14,0,10,91.5679526430107,91.5679526430107,91.56795264301076,1.0,24,0,0,160.4299283240346,160.42992832403462,160.42992832403468,1.0,24,0,0,267.27095552057176,267.27095552057176,267.27095552057176
A4,fold_3,2022-08-24,24,1,2022-08-24,2022-08-24,22.408476079747405,31.955228805973476,17.80549410937903,8.902747054689515,29.227310365856766,-6.81883428610936,-1.314447431432716,1.314447431432768,22.627550651652868,0,0,0.9166666666666666,22,1,1,93.61635278879749,93.61635278879749,93.61635278879754,0.9583333333333334,23,0,1,168.36484080266493,168.36484080266496,168.36484080266496,1.0,24,0,0,283.47914834078733,283.47914834078733,283.47914834078733
A4,fold_3,2022-08-25,24,1,2022-08-25,2022-08-25,46.38849705457873,58.04660428876655,24.785098530240578,12.392549265120289,25.321986783481766,21.06651027109696,46.38849705457873,46.38849705457869,24.362626358005272,0,0,0.6666666666666666,16,8,0,97.66751556626934,97.66751556626934,97.66751556626934,0.9166666666666666,22,2,0,174.16289519534794,174.16289519534797,174.16289519534803,1.0,24,0,0,300.8547653237198,300.8547653237198,300.8547653237198
A4,fold_3,2022-08-26,24,1,2022-08-26,2022-08-26,56.38325415395001,77.58108025838726,34.29898922550474,17.14949461275237,78.33963922798894,-21.956385074038923,-54.24052254515215,54.24052254515209,48.300745023902664,0,0,0.5,12,0,12,98.12973888537203,98.12973888537203,98.12973888537203,0.7083333333333334,17,0,7,177.05342356113124,177.05342356113124,177.05342356113124,0.875,21,0,3,312.7229336637806,312.7229336637806,312.7229336637807
A4,fold_3,2022-08-27,24,1,2022-08-27,2022-08-27,50.62474255681505,67.72734787368557,29.822720788179264,14.911360394089632,54.304331723465644,-3.6795891666505915,-17.22489606650772,17.224896066507768,54.52459251980193,0,0,0.625,15,2,7,103.84149513343596,103.84149513343596,103.84149513343596,0.75,18,1,5,190.5360007841115,190.53600078411148,190.53600078411154,1.0,24,0,0,340.7886594307026,340.7886594307025,340.78865943070264
A4,fold_3,2022-08-28,24,1,2022-08-28,2022-08-28,121.47400703746605,155.23314178706508,74.51069174563979,37.2553458728199,102.82385678716945,18.65015025029661,121.47400703746605,121.47400703746592,78.7167122437122,0,0,0.20833333333333334,5,19,0,102.92879429224377,102.92879429224377,102.92879429224382,0.5,12,12,0,187.98638529351,187.98638529351,187.98638529351,0.75,18,6,0,336.8516547059776,336.8516547059776,336.8516547059776
A4,fold_3,2022-08-29,24,1,2022-08-29,2022-08-29,45.18840766743299,60.180049662426114,26.704707369412073,13.352353684706037,63.527538148080424,-18.339130480647427,-36.48784658894064,36.48784658894067,35.98436413362786,0,0,0.5833333333333334,14,1,9,99.87607282443332,99.87607282443332,99.87607282443332,0.7916666666666666,19,1,4,190.96257112959242,190.96257112959245,190.96257112959245,1.0,24,0,0,336.4700672648794,336.4700672648794,336.4700672648794
A4,fold_3,2022-08-30,24,1,2022-08-30,2022-08-30,55.64445627380303,73.98638952411324,32.54678313160101,16.273391565800505,52.364236024240704,3.2802202495623285,41.78385945572635,41.783859455726315,52.727961310579296,0,0,0.625,15,9,0,107.43775254442266,107.43775254442266,107.43775254442272,0.7083333333333334,17,7,0,206.59133080756465,206.59133080756465,206.59133080756465,1.0,24,0,0,366.98161427729156,366.98161427729167,366.98161427729167
A4,fold_3,2022-08-31,24,1,2022-08-31,2022-08-31,75.97502280570264,97.26007093258733,41.365381821460154,20.682690910730077,61.43007690460459,14.54494590109804,73.22736319005774,73.22736319005764,50.86548198077542,0,0,0.5,12,12,0,108.88092989799782,108.88092989799782,108.88092989799782,0.7083333333333334,17,7,0,211.87861427801795,211.87861427801795,211.87861427801795,0.9583333333333334,23,1,0,373.06527048890484,373.06527048890484,373.06527048890484
A4,fold_3,2022-09-01,24,1,2022-09-01,2022-09-01,98.63170637841961,107.38523934576739,47.65989597058956,23.82994798529478,76.76665122110434,21.865055157315282,98.63170637841961,98.63170637841972,34.053984377395686,0,0,0.20833333333333334,5,19,0,105.96573223063695,105.96573223063695,105.96573223063695,0.5833333333333334,14,10,0,210.47045736535537,210.4704573653554,210.4704573653554,0.9583333333333334,23,1,0,357.5709678224859,357.5709678224859,357.57096782248595
A4,fold_3,2022-09-02,24,1,2022-09-02,2022-09-02,215.34104321522545,238.20215361863347,140.92459427120613,70.46229713560307,194.11924741083646,21.221795804388993,215.34104321522545,215.3410432152254,83.52755412117482,0,0,0.0,0,24,0,101.37898322882461,101.37898322882461,101.37898322882467,0.08333333333333333,2,22,0,210.58075543225868,210.58075543225868,210.58075543225874,0.5,12,12,0,350.06440990637884,350.0644099063788,350.06440990637884
A4,fold_3,2022-09-03,24,1,2022-09-03,2022-09-03,85.08246908364113,110.71609396650285,46.20779818787346,23.10389909393673,71.91939637562831,13.163072708012818,78.01758172260485,78.01758172260486,58.06753719369666,0,0,0.4583333333333333,11,13,0,112.29779615855857,112.29779615855855,112.29779615855858,0.7916666666666666,19,5,0,232.91839886328194,232.91839886328194,232.918398863282,0.9583333333333334,23,1,0,377.06592678333783,377.0659267833379,377.065926783338
A4,fold_3,2022-09-04,24,1,2022-09-04,2022-09-04,89.28924803730767,95.62599145471106,41.25088481465138,20.62544240732569,76.7643732557864,12.524874781521284,39.78147771756463,39.781477717564655,70.05208424289503,0,0,0.375,9,10,5,139.69971005784544,139.69971005784544,139.6997100578455,0.9166666666666666,22,1,1,293.0283242749845,293.0283242749845,293.0283242749845,1.0,24,0,0,477.5365159823302,477.5365159823301,477.5365159823301
A4,fold_3,2022-09-05,24,1,2022-09-05,2022-09-05,120.76372889074831,133.95150975421444,56.73509818571441,28.367549092857207,93.58359427636044,27.180134614387864,120.76372889074831,120.76372889074833,47.07232069946,0,0,0.20833333333333334,5,19,0,144.88382033704622,144.8838203370462,144.88382033704625,0.75,18,6,0,311.0578600120961,311.05786001209606,311.0578600120961,1.0,24,0,0,520.9409216541828,520.9409216541828,520.9409216541828
