scope,candidate,baseline,metric,difference,ci_lower,ci_upper,replicates
fold_2,A1,B1,WIS,-4.575795629982418,-6.501605430693348,-2.400710441549472,2000
fold_2,A1,B2,MAE,0.27814382228174495,-0.28763985273732523,0.891172391553053,2000
fold_2,A1,B2,WIS,0.2095785353659414,-0.1865453053780821,0.6333404964644688,2000
fold_2,A1,B3,MAE,-1.7089510753543227,-2.799140522042352,-0.6962428276496244,2000
fold_2,A1,B3,WIS,-0.9834581487533649,-1.5701182465853292,-0.39959856599629595,2000
fold_2,A2,B0,MAE,-5.869959651274462,-8.637624274994678,-3.549751979132364,2000
fold_2,A2,B0,WIS,-4.130316876586072,-5.97500898279124,-2.519823580163518,2000
fold_2,A2,B1,MAE,-9.73545383932568,-13.611095039131664,-5.592159362303967,2000
fold_2,A2,B1,WIS,-4.066535971180354,-6.020523758056925,-1.8626293828139244,2000
fold_2,A2,B2,MAE,0.6242670141293143,0.08588981509688041,1.3888292512383347,2000
fold_2,A2,B2,WIS,0.7188381941680051,0.2604331530118754,1.3391153833272427,2000
fold_2,A2,B3,MAE,-1.3628278835067533,-2.1611438914808954,-0.3993830565197721,2000
fold_2,A2,B3,WIS,-0.4741984899513012,-0.9268678837707258,0.10208425293913817,2000
fold_2,A3,B0,MAE,-6.685538870030614,-9.53180245170232,-4.359963158213834,2000
fold_2,A3,B0,WIS,-4.769040394059991,-6.70348305993153,-3.182675816092512,2000
fold_2,A3,B1,MAE,-10.551033058081833,-14.393400354289671,-6.5255446606307235,2000
fold_2,A3,B1,WIS,-4.705259488654273,-6.589922041014412,-2.613328330697615,2000
fold_2,A3,B2,MAE,-0.19131220462683807,-0.5991953324047068,0.2941632918668683,2000
fold_2,A3,B2,WIS,0.08011467669408567,-0.2533729967960679,0.48956805214033083,2000
fold_2,A3,B3,MAE,-2.1784071022629057,-3.0405379817499947,-1.3596257149465558,2000
fold_2,A3,B3,WIS,-1.1129220074252206,-1.5427476030665388,-0.6602371227110904,2000
fold_2,A4,B0,MAE,-4.935636286771626,-7.345188869099273,-3.192575892448393,2000
fold_2,A4,B0,WIS,-3.882750694192235,-5.558523578370281,-2.6465129450673794,2000
fold_2,A4,B1,MAE,-8.801130474822845,-12.714257250443554,-4.70476298108602,2000
fold_2,A4,B1,WIS,-3.818969788786517,-5.797989627140961,-1.5830096180301965,2000
fold_2,A4,B2,MAE,1.5585903786321502,0.7752531822925262,2.347999469126855,2000
fold_2,A4,B2,WIS,0.966404376561842,0.4294916751593906,1.4723574600722278,2000
fold_2,A4,B3,MAE,-0.4285045190039174,-1.597863958553122,0.6533829369742513,2000
fold_2,A4,B3,WIS,-0.22663230755746433,-0.8453496870452006,0.39624911007438374,2000
fold_2,A5,B0,MAE,-6.632801150511149,-9.434935449748833,-4.446304563565684,2000
fold_2,A5,B0,WIS,-4.714469714540988,-6.563204454288697,-3.202882302140495,2000
fold_2,A5,B1,MAE,-10.498295338562368,-14.332415734294196,-6.524242219112381,2000
fold_2,A5,B1,WIS,-4.6506888091352705,-6.565782570292771,-2.5619943571068893,2000
fold_2,A5,B2,MAE,-0.13857448510737314,-0.5398512587417815,0.2752974023336194,2000
fold_2,A5,B2,WIS,0.13468535621308853,-0.19868579857407304,0.5182808017724103,2000
fold_2,A5,B3,MAE,-2.1256693827434407,-3.04024990484969,-1.351974392597074,2000
fold_2,A5,B3,WIS,-1.0583513279062178,-1.5107905717979797,-0.5952627074771512,2000
fold_3,A1,B0,MAE,-35.73611032376832,-55.06080061809873,-19.881192113514953,2000
fold_3,A1,B0,WIS,-21.27235257295745,-34.15060873613665,-10.24212013838668,2000
fold_3,A1,B1,MAE,-89.78008939484815,-138.12078404252955,-56.01965967365073,2000
fold_3,A1,B1,WIS,-57.480742127440934,-94.26998801002232,-32.53393177741546,2000
fold_3,A1,B2,MAE,-2.7950618678878385,-5.83030686454955,0.3702908336760145,2000
fold_3,A1,B2,WIS,-1.8696349390715845,-3.7816298781611954,-0.06499225341928089,2000
fold_3,A1,B3,MAE,-19.402754696911067,-26.413962864549706,-14.265279489837852,2000
fold_3,A1,B3,WIS,-9.128785262440392,-12.964756694371312,-6.399796445794447,2000
fold_3,A2,B0,MAE,-20.503234864263078,-33.810646055369915,-8.999612433148316,2000
fold_3,A2,B0,WIS,-13.829769874843045,-22.455313196687904,-5.822818759694877,2000
fold_3,A2,B1,MAE,-74.5472139353429,-122.50880203432885,-41.961318897461425,2000
fold_3,A2,B1,WIS,-50.038159429326534,-87.47821863902037,-24.90833422580095,2000
fold_3,A2,B2,MAE,12.437813591617406,3.7273316767523026,24.346493956792784,2000
fold_3,A2,B2,WIS,5.572947759042819,0.032012426066974894,12.153151721352392,2000
fold_3,A2,B3,MAE,-4.169879237405823,-12.760815958679315,5.490429554703423,2000
fold_3,A2,B3,WIS,-1.6862025643259884,-6.823809608845197,3.1848846070364503,2000
fold_3,A3,B0,MAE,-32.394346854848315,-49.758408546928756,-18.03155009350394,2000
fold_3,A3,B0,WIS,-19.822267387699807,-31.084921543706283,-9.826440881775538,2000
fold_3,A3,B1,MAE,-86.43832592592813,-133.62627441040777,-54.14111794670718,2000
fold_3,A3,B1,WIS,-56.0306569421833,-93.08132909454393,-31.20103756985795,2000
fold_3,A3,B2,MAE,0.5467016010321686,-4.6765628134249155,6.561319491375546,2000
fold_3,A3,B2,WIS,-0.41954975381394277,-3.815385917982226,2.943399195712744,2000
fold_3,A3,B3,MAE,-16.06099122799106,-22.6747488602742,-10.700288877860837,2000
fold_3,A3,B3,WIS,-7.67870007718275,-11.446264091778636,-5.024135242011587,2000
fold_3,A4,B0,MAE,-24.738836507982725,-39.298608928629655,-11.73906876272024,2000
fold_3,A4,B0,WIS,-15.339864693617614,-25.790169215152805,-5.393715702113318,2000
fold_3,A4,B1,MAE,-78.78281557906254,-127.25678641688994,-43.31503643149577,2000
fold_3,A4,B1,WIS,-51.5482542481011,-88.93810125802123,-25.424888320509826,2000
fold_3,A4,B2,MAE,8.202211947897759,1.7678383309106074,15.723241598661334,2000
fold_3,A4,B2,WIS,4.06285294026825,0.5025452449496444,8.396780520064757,2000
fold_3,A4,B3,MAE,-8.40548088112547,-15.95314030040173,-1.6597898768303334,2000
fold_3,A4,B3,WIS,-3.196297383100557,-6.837331231023272,0.3392784830155548,2000
fold_3,A5,B0,MAE,-31.83403810787354,-48.6873919135484,-17.522513666380735,2000
fold_3,A5,B0,WIS,-19.400759261630796,-30.422575696232197,-9.414385032478533,2000
fold_3,A5,B1,MAE,-85.87801717895336,-133.05703062202062,-52.49444775608283,2000
fold_3,A5,B1,WIS,-55.609148816114285,-92.5341375871814,-30.744886932969575,2000
fold_3,A5,B2,MAE,1.1070103480069449,-3.7117446647738905,6.658559918804469,2000
fold_3,A5,B2,WIS,0.0019583722550677862,-3.030264628768294,3.1456483173346657,2000
fold_3,A5,B3,MAE,-15.500682481016284,-21.903727183034395,-10.674259287464455,2000
fold_3,A5,B3,WIS,-7.2571919511137395,-10.681128462227328,-4.80205434252392,2000
fold_4,A1,B0,MAE,-6.244120285789247,-8.144341801491034,-4.2074856315800995,2000
fold_4,A1,B0,WIS,-4.474280057340611,-5.397355807316415,-3.488042330665609,2000
fold_4,A1,B1,MAE,-3.3248270590325397,-4.710938029660966,-1.8934041425446786,2000
fold_4,A1,B1,WIS,-1.2839903831964268,-1.9843087448902847,-0.40839108231898313,2000
fold_4,A1,B2,MAE,0.1998352015884457,-0.2632522141253393,0.8183128727125366,2000
fold_4,A1,B2,WIS,0.18150876371472968,-0.10750578390756997,0.5717008953382964,2000
fold_4,A1,B3,MAE,-1.6584483230908837,-3.0124273357240443,-0.28554702320820935,2000
fold_4,A1,B3,WIS,-0.8712549200509923,-1.5949696067164556,-0.15452998984086827,2000
fold_4,A2,B0,MAE,-3.7644776169573753,-5.192335528556736,-2.3278330374031473,2000
fold_4,A2,B0,WIS,-3.1532849791688786,-3.9517082440163906,-2.351682849403379,2000
fold_4,A2,B1,MAE,-0.8451843902006679,-2.0955987148167745,0.34987950416345076,2000
fold_4,A2,B1,WIS,0.03700469497530534,-0.6911391354839052,0.8074836399933736,2000
fold_4,A2,B2,MAE,2.6794778704203175,1.358085020969214,4.121527816946581,2000
fold_4,A2,B2,WIS,1.5025038418864618,0.8050653952396983,2.2491478536834766,2000
fold_4,A2,B3,MAE,0.821194345740988,-0.021797276693250905,1.8086573968119355,2000
fold_4,A2,B3,WIS,0.44974015812073986,0.038601170252761996,0.9362990174327456,2000
fold_4,A3,B0,MAE,-6.205814679137962,-7.771107420227224,-4.558109559272028,2000
fold_4,A3,B0,WIS,-4.435025136796563,-5.227263342570346,-3.5611536332671063,2000
fold_4,A3,B1,MAE,-3.2865214523812547,-4.34935390938664,-2.302213641819813,2000
fold_4,A3,B1,WIS,-1.244735462652379,-1.8705046151024678,-0.5028004783624798,2000
fold_4,A3,B2,MAE,0.23814080823973072,-0.5408748338521343,1.0575629614809507,2000
fold_4,A3,B2,WIS,0.22076368425877746,-0.18685653389538082,0.668638882013722,2000
fold_4,A3,B3,MAE,-1.6201427164395987,-2.480244910593775,-0.6434536585832396,2000
