policy,fold,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95,window_start,window_end,calendar_days
A3,fold_1,2160,90,2020-07-01,2020-09-28,6.382933882182404,10.165948392795718,3.893327057114685,1.9466635285573426,6.39935420984563,-0.016420327663226892,0.07697330942645093,5.602661544579648,4.370822248089257,0,0,0.5,1080,535,545,9.164707626393003,7.993482731035273,18.710703373578433,0.7791666666666667,1683,223,254,20.783669061193393,18.316492867229712,49.05671641676969,0.9402777777777778,2031,56,73,38.205315515882695,34.36201812402973,82.85625854344951,2020-07-01,2020-09-28,90
A3,fold_2,2159,90,2021-04-01,2021-06-29,9.483962242631044,14.685742441148502,6.117502260395768,3.058751130197884,9.518855613449665,-0.03489337081861935,1.827737375904411,7.404232675008491,6.3225929810854105,0,0,0.5303381194997684,1145,472,542,13.52539280061432,12.52648242917256,22.533512210038367,0.7901806391848077,1706,222,231,35.74795133256948,32.19398810928341,68.9972812512902,0.9383974062065771,2026,66,67,73.8084508633783,63.261994567159014,132.40576966650343,2021-04-01,2021-06-29,90
A3,fold_3,2112,88,2022-07-01,2022-09-28,54.55452625121228,73.6942852996732,31.904692481077234,15.952346240538617,52.81186008548863,1.7426661657236424,9.541250137247347,46.008545795443005,32.93401306733024,0,0,0.47490530303030304,1003,599,510,77.30625539169807,77.16600366926042,121.64771688021324,0.759469696969697,1604,280,228,164.08034409561117,162.34962920443908,250.94453637554227,0.9318181818181818,1968,82,62,314.62152165079897,295.75063400570764,504.8932730684327,2022-07-01,2022-09-28,90
A3,fold_4,2160,90,2025-05-01,2025-07-29,16.778750135676855,25.914649628893876,10.12621545844153,5.063107729220765,16.704346420316778,0.07440371536007549,1.2676433644560512,10.240380187897506,14.787873208272067,0,0,0.49953703703703706,1079,538,543,23.942711608113427,24.297750124353893,37.66119186914366,0.7986111111111112,1725,218,217,54.033508065112834,52.01880429090051,81.44110897331782,0.9416666666666667,2034,62,64,96.5742886845386,94.29563219486552,143.09070325477938,2025-05-01,2025-07-29,90
A3,fold_5,2156,90,2026-01-08,2026-04-07,20.72184536837457,29.917243729384154,12.18007793929282,6.09003896964641,20.126083237080913,0.5957621312936591,1.4332699239189728,16.707289763446166,14.336299619260298,0,0,0.474025974025974,1022,609,525,31.307169411817007,30.236598126357194,55.45520766311719,0.7935992578849722,1711,239,206,67.2005898798883,65.25657935503574,106.02579014711762,0.9499072356215214,2048,53,55,150.70741724026846,156.02165073919235,262.8756437967193,2026-01-08,2026-04-07,90
A4,fold_1,2160,90,2020-07-01,2020-09-28,7.561311950062784,11.899459271453212,4.615602653498288,2.307801326749144,7.413290492370112,0.14802145769267233,-0.1467476403882879,5.881807292001646,5.651571313059866,0,0,0.49583333333333335,1071,534,555,10.9374704696126,9.065456094719758,23.189330332966644,0.774537037037037,1673,237,250,23.718414525558067,20.12416092399642,56.56395920685371,0.9282407407407407,2005,74,81,44.80475570342294,37.61735847965387,102.96452350806359,2020-07-01,2020-09-28,90
A4,fold_2,2159,90,2021-04-01,2021-06-29,11.233963033733081,16.4236166918629,7.003969482856591,3.5019847414282954,11.025245939257061,0.20871709447601824,1.0432845249058245,8.776549261791962,7.827673538870456,0,0,0.5002315886984715,1080,502,577,15.971545749929941,14.716088216044461,28.50127960245779,0.7818434460398332,1688,215,256,40.47838234620828,36.31471475706038,77.54187706694177,0.9379342288096341,2025,65,69,78.45193041312716,72.380985271792,138.66542484397485,2021-04-01,2021-06-29,90
A4,fold_3,2112,88,2022-07-01,2022-09-28,62.21003659807786,84.46741467825343,36.38709517515944,18.19354758757972,60.17047445470223,2.0395621433756332,6.710600308110475,51.96166919229037,39.75674193495225,0,0,0.46448863636363635,981,592,539,89.16669013707747,85.23571194939514,130.37682964667522,0.7765151515151515,1640,256,216,193.0650469019385,173.69771995018704,294.8370993549323,0.9266098484848485,1957,88,67,348.23076742500945,325.89522780719017,548.8586009685898,2022-07-01,2022-09-28,90
A4,fold_4,2160,90,2025-05-01,2025-07-29,18.279171795815127,28.298777885801623,11.169500246323828,5.584750123161914,18.18581246452517,0.09335933128995855,0.8859867409634211,11.658822785348427,16.88221901471248,0,0,0.49537037037037035,1070,545,545,23.957329782331787,23.73680319500575,32.51285514801965,0.7976851851851852,1723,206,231,58.40012328102051,56.86558246499453,89.90234533784161,0.9490740740740741,2050,51,59,114.38357064063467,110.43322061159607,182.32056975758618,2025-05-01,2025-07-29,90
A4,fold_5,2156,90,2026-01-08,2026-04-07,22.634874530249814,32.865220744949696,13.342811981809843,6.671405990904922,22.260274028172894,0.37460050207692036,3.530503086297373,16.872833779958647,17.600695667588425,0,0,0.48144712430426717,1038,596,522,33.30652552329457,30.8881707924064,57.58927938112758,0.7852504638218923,1693,261,202,72.94521698057709,67.63159132830518,120.16573678014221,0.948051948051948,2044,57,55,162.02492403416116,169.98551137654036,270.6550419476068,2026-01-08,2026-04-07,90
A5,fold_1,2160,90,2020-07-01,2020-09-28,6.491358063810941,10.36854154709777,3.968431964807843,1.984215982403922,6.436075681072197,0.05528238273874388,0.06295488162821515,5.634399424021086,4.500306182970063,0,0,0.49074074074074076,1060,550,550,9.217788579024479,8.081981460404094,18.919906272276105,0.7722222222222223,1668,236,256,20.77717761139728,17.94711438872218,50.57277055555846,0.9351851851851852,2020,65,75,39.17874662408062,34.24476301791083,85.65448085877424,2020-07-01,2020-09-28,90
