policy,criterion,metric,scope,actual,lower_limit,upper_limit,passed
A4,4,coverage95,peak,0.9068627450980392,0.9,,True
A4,4,MAE,peak,54.58456069289934,,57.617758673520505,True
A4,5,MAE,fold_1,7.561311950062784,,6.530232537302945,False
A4,5,MAE,fold_2,11.233963033733081,,10.160199330508874,False
A4,5,MAE,fold_3,62.21003659807786,,56.7082158826891,False
A4,5,MAE,fold_4,18.279171795815127,,17.367639793808983,False
A4,5,MAE,fold_5,22.634874530249814,,20.162626935989135,False
A4,4,WIS,peak,31.63493847252128,,33.72970535812474,True
A4,5,WIS,fold_1,4.615602653498288,,4.147146167403628,False
A4,5,WIS,fold_2,7.003969482856591,,6.339890674080492,False
A4,5,WIS,fold_3,36.38709517515944,,33.940454346635754,False
A4,5,WIS,fold_4,11.169500246323828,,10.400724362891893,False
A4,5,WIS,fold_5,13.342811981809843,,12.102308138409143,False
A4,6,complete_finite_ordered,all_eligible,1.0,1.0,,True
A5,1,S_MAE,equal_fold,0.6737799644306972,,0.5920298211373128,False
A5,2,S_WIS,equal_fold,0.6487132071459641,,0.5750919366593932,False
A5,3,coverage95,fold_1,0.9351851851851852,0.9,0.98,True
A5,3,coverage95,fold_2,0.9351551644279759,0.9,0.98,True
A5,3,coverage95,fold_3,0.9341856060606061,0.9,0.98,True
A5,3,coverage95,fold_4,0.9430555555555555,0.9,0.98,True
A5,3,coverage95,fold_5,0.9512987012987013,0.9,0.98,True
A5,4,coverage95,peak,0.928921568627451,0.9,,True
A5,4,MAE,peak,51.472021675486815,,57.617758673520505,True
A5,5,MAE,fold_1,6.491358063810941,,6.530232537302945,True
A5,5,MAE,fold_2,9.537144380613197,,10.160199330508874,True
A5,5,MAE,fold_3,55.114834998187035,,56.7082158826891,True
A5,5,MAE,fold_4,16.510709680137534,,17.367639793808983,True
A5,5,MAE,fold_5,20.5906348386011,,20.162626935989135,False
A5,4,WIS,peak,29.295773525562776,,33.72970535812474,True
A5,5,WIS,fold_1,3.968431964807843,,4.147146167403628,True
A5,5,WIS,fold_2,6.1724366615860635,,6.339890674080492,True
A5,5,WIS,fold_3,32.32620060714625,,33.940454346635754,True
A5,5,WIS,fold_4,9.961298222390175,,10.400724362891893,True
A5,5,WIS,fold_5,12.04735622594658,,12.102308138409143,True
A5,6,complete_finite_ordered,all_eligible,1.0,1.0,,True
