policy,fold,window_start,window_end,calendar_days,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
B1,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,164.1383628070824,177.35548830866523,93.45587332078374,46.72793666039187,164.1383628070824,0.0,-164.1383628070824,164.1383628070824,36.08463576732083,0,0,0.1488095238095238,25,0,143,130.13269681632292,127.02985943095166,174.98167437299898,0.2976190476190476,50,0,118,229.74299506510354,227.23049859260493,269.7442481012207,0.47619047619047616,80,0,88,349.8026190018205,349.845800967,446.5059069262677
B2,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,39.4299397269,53.183806481697836,23.509397129415806,11.754698564707903,42.051352407271594,-2.6214126803715914,-4.042506203845328,33.57973176034865,28.421524995321185,0,0,0.6369047619047619,107,31,30,78.60497067331514,78.532324645346,80.54067850968954,0.8630952380952381,145,8,15,177.77737817738864,176.65191911668546,184.03428724663507,0.9940476190476191,167,0,1,334.43361821494295,334.43361821494295,334.43361821494307
B3,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,76.87743532641387,90.86829867028568,39.91961670412026,19.95980835206013,76.71467727378405,0.1627580526298294,0.37312688665378163,71.1616973212006,35.100714384732754,0,0,0.43452380952380953,73,50,45,125.97358974505572,123.72208010004809,132.87826075496992,0.8273809523809523,139,8,21,236.14096495852664,230.77991077596056,245.04609451983367,0.9464285714285714,159,0,9,405.6577142902438,399.1493295380926,414.33556062644544
A1,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,51.84328405773091,64.82298725768494,29.211636485571088,14.605818242785544,50.63400494927299,1.209279108457923,-7.1200875222559485,48.12000372609579,29.33009800230249,0,0,0.40476190476190477,68,50,50,70.63237100600824,70.54624609224078,96.11030948196446,0.6845238095238095,115,29,24,138.22139805601594,142.7332077675494,186.63927093902703,0.9047619047619048,152,0,16,284.28059286514804,298.0609363688248,383.3178084398771
A2,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,71.85080529947957,92.52466412252278,39.84636250322658,19.92318125161329,72.62089985417018,-0.7700945546906116,-17.729613220852414,64.03039029505354,32.344959637683374,0,0,0.44047619047619047,74,44,50,110.30885791442427,117.05608840791587,145.08227644676646,0.7857142857142857,132,2,34,205.13040961360946,210.44037962201944,274.4538618256148,0.8928571428571429,150,0,18,340.4261780708588,349.76900495360564,447.12967603699053
A3,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,60.72772026155943,74.68888572510613,32.57309897838606,16.28654948919303,60.64370144545575,0.08401881610367348,-10.444309911373283,56.36655420702556,28.26557086626817,0,0,0.38095238095238093,64,48,56,77.99901627855395,83.10029741749196,102.20090803992258,0.6845238095238095,115,18,35,152.5180212611293,153.47686343624127,205.1192725301026,0.8869047619047619,149,0,19,287.696741483593,300.15654088321486,383.70723244415956
A4,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,60.504948657493905,76.6241400495215,33.244829111646474,16.622414555823237,60.460760902596945,0.04418775489695022,-3.0280842488105826,53.15425149278648,40.947342701017405,0,0,0.40476190476190477,68,51,49,84.07938156731814,86.22484347943879,115.93885235211127,0.7678571428571429,129,8,31,182.44410262057548,189.30257339180898,246.66812274491372,0.9285714285714286,156,0,12,307.1674275099435,320.09832110726995,409.1999479361036
A5,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,58.794246009157675,72.85409509866643,31.51251924443385,15.756259622216925,58.47986270967591,0.31438329948176297,-8.21995411825546,55.270730431890925,30.964895020591136,0,0,0.38095238095238093,64,48,56,77.02823481152284,79.06395088801776,105.36405685982186,0.7023809523809523,118,17,33,153.7516013709636,156.60616889994873,205.40771102032727,0.9107142857142857,153,0,15,293.4020331148386,308.13061742763057,393.90094947312184
B0,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,176.48416666666668,213.12784061924856,95.47132976190476,47.73566488095238,169.2329761904762,7.251190476190485,136.52154761904762,175.73488095238096,42.7084126984127,0,0,0.25,42,108,18,153.48999999999998,149.615,185.1675,0.5952380952380952,100,62,6,373.9737142857142,356.812,427.72900000000004,0.8511904761904762,143,25,0,541.86625,522.2805000000001,568.6990000000001
B1,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,74.31131433130679,90.42053142017043,42.438295080919474,21.219147540459737,74.31131433130679,0.0,-39.74600857775817,58.67878912020616,46.78240887465617,0,0,0.39285714285714285,66,29,73,117.55393351567038,114.04971717140268,177.7732568174248,0.4880952380952381,82,18,68,174.66420715005012,167.24712794390126,249.92624620211845,0.7380952380952381,124,1,43,295.5079750783231,283.4748166537509,405.75322805308707
