run_00z,delivery_day,archive_span,file_present,file_bytes,path,field_inventory,n_step,missing_chunks,inventory_error,folds
2020-09-18,2020-09-19,inside,True,3217493058,data/2020/9/18/20200918_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-19,2020-09-20,inside,True,3239642678,data/2020/9/19/20200919_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-20,2020-09-21,inside,True,3237048383,data/2020/9/20/20200920_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-21,2020-09-22,inside,True,3254002108,data/2020/9/21/20200921_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-22,2020-09-23,inside,True,3273533639,data/2020/9/22/20200922_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-23,2020-09-24,inside,True,3280888890,data/2020/9/23/20200923_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-24,2020-09-25,inside,True,3296425423,data/2020/9/24/20200924_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-25,2020-09-26,inside,True,3298363449,data/2020/9/25/20200925_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-26,2020-09-27,inside,True,3307035857,data/2020/9/26/20200926_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-27,2020-09-28,inside,True,3295433243,data/2020/9/27/20200927_00.zarr.zip,pass,93,,,fold_1;fold_2;fold_3
2020-09-28,2020-09-29,inside,True,3300188188,data/2020/9/28/20200928_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-09-29,2020-09-30,inside,True,3303769417,data/2020/9/29/20200929_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-09-30,2020-10-01,inside,True,3282026658,data/2020/9/30/20200930_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-01,2020-10-02,inside,True,3281853760,data/2020/10/1/20201001_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-02,2020-10-03,inside,True,3274452139,data/2020/10/2/20201002_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-03,2020-10-04,inside,True,3284421711,data/2020/10/3/20201003_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-04,2020-10-05,inside,True,3298701719,data/2020/10/4/20201004_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-05,2020-10-06,inside,True,3322444663,data/2020/10/5/20201005_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-06,2020-10-07,inside,True,3317257444,data/2020/10/6/20201006_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-07,2020-10-08,inside,True,3336481644,data/2020/10/7/20201007_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-08,2020-10-09,inside,True,3348076832,data/2020/10/8/20201008_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-09,2020-10-10,inside,True,3341389808,data/2020/10/9/20201009_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-10,2020-10-11,inside,True,3350668489,data/2020/10/10/20201010_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-11,2020-10-12,inside,True,3341134017,data/2020/10/11/20201011_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-12,2020-10-13,inside,True,3336318493,data/2020/10/12/20201012_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-13,2020-10-14,inside,True,3326784697,data/2020/10/13/20201013_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-14,2020-10-15,inside,True,3338005963,data/2020/10/14/20201014_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-15,2020-10-16,inside,True,3322135951,data/2020/10/15/20201015_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-16,2020-10-17,inside,True,3325366100,data/2020/10/16/20201016_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-17,2020-10-18,inside,True,3335283079,data/2020/10/17/20201017_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-18,2020-10-19,inside,True,3324550874,data/2020/10/18/20201018_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-19,2020-10-20,inside,True,3320909640,data/2020/10/19/20201019_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-20,2020-10-21,inside,True,3301596954,data/2020/10/20/20201020_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-21,2020-10-22,inside,True,3313541825,data/2020/10/21/20201021_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-22,2020-10-23,inside,True,3289670578,data/2020/10/22/20201022_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-23,2020-10-24,inside,True,3287980822,data/2020/10/23/20201023_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-24,2020-10-25,inside,True,3302825274,data/2020/10/24/20201024_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-25,2020-10-26,inside,True,3288654430,data/2020/10/25/20201025_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-26,2020-10-27,inside,True,3285027980,data/2020/10/26/20201026_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-27,2020-10-28,inside,True,3276596089,data/2020/10/27/20201027_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-28,2020-10-29,inside,True,3271217409,data/2020/10/28/20201028_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-29,2020-10-30,inside,True,3272825571,data/2020/10/29/20201029_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-30,2020-10-31,inside,True,3280693030,data/2020/10/30/20201030_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-10-31,2020-11-01,inside,True,3297817979,data/2020/10/31/20201031_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-01,2020-11-02,inside,False,,,,,,,fold_2;fold_3
2020-11-02,2020-11-03,inside,False,,,,,,,fold_2;fold_3
2020-11-03,2020-11-04,inside,True,3312848806,data/2020/11/3/20201103_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-04,2020-11-05,inside,False,,,,,,,fold_2;fold_3
2020-11-05,2020-11-06,inside,False,,,,,,,fold_2;fold_3
2020-11-06,2020-11-07,inside,False,,,,,,,fold_2;fold_3
2020-11-07,2020-11-08,inside,False,,,,,,,fold_2;fold_3
2020-11-08,2020-11-09,inside,True,3283903927,data/2020/11/8/20201108_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-09,2020-11-10,inside,False,,,,,,,fold_2;fold_3
2020-11-10,2020-11-11,inside,False,,,,,,,fold_2;fold_3
2020-11-11,2020-11-12,inside,True,3288740969,data/2020/11/11/20201111_00.zarr.zip,pass,93,,,fold_2;fold_3
