run_00z,lead,field,prerun_attempts,attempts_so_far,run_status,retained_raw_review_sample,owner_o1_extra_allowance,production_attempts_remaining,review_attempt_reserved
2021-02-02,30,dswrf,2,2,complete,True,2,0,True
2021-02-02,30,u10,2,2,complete,True,2,0,True
2021-02-02,30,u100,2,2,complete,True,2,0,True
2021-02-02,30,v10,2,2,complete,True,2,0,True
2021-02-02,30,v100,2,2,complete,True,2,0,True
2021-02-02,33,dswrf,2,2,complete,True,2,0,True
2021-02-02,33,u10,2,2,complete,True,2,0,True
2021-02-02,33,u100,2,2,complete,True,2,0,True
2021-02-02,33,v10,2,2,complete,True,2,0,True
2021-02-02,33,v100,2,2,complete,True,2,0,True
2021-02-02,36,dswrf,2,2,complete,True,2,0,True
2021-02-02,36,u10,2,2,complete,True,2,0,True
2021-02-02,36,u100,2,2,complete,True,2,0,True
2021-02-02,36,v10,2,2,complete,True,2,0,True
2021-02-02,36,v100,2,2,complete,True,2,0,True
2021-02-02,39,dswrf,2,2,complete,True,2,0,True
2021-02-02,39,u10,2,2,complete,True,2,0,True
2021-02-02,39,u100,2,2,complete,True,2,0,True
2021-02-02,39,v10,2,2,complete,True,2,0,True
2021-02-02,39,v100,2,2,complete,True,2,0,True
2021-02-02,42,dswrf,2,2,complete,True,2,0,True
2021-02-02,42,u10,2,2,complete,True,2,0,True
2021-02-02,42,u100,2,2,complete,True,2,0,True
2021-02-02,42,v10,2,2,complete,True,2,0,True
2021-02-02,42,v100,2,2,complete,True,2,0,True
2021-02-02,45,dswrf,2,2,complete,True,2,0,True
2021-02-02,45,u10,2,2,complete,True,2,0,True
2021-02-02,45,u100,2,2,complete,True,2,0,True
2021-02-02,45,v10,2,2,complete,True,2,0,True
2021-02-02,45,v100,2,2,complete,True,2,0,True
2021-02-02,48,dswrf,1,1,complete,True,1,0,True
2021-02-02,48,u10,1,1,complete,True,1,0,True
2021-02-02,48,u100,1,1,complete,True,1,0,True
2021-02-02,48,v10,1,1,complete,True,1,0,True
2021-02-02,48,v100,1,1,complete,True,1,0,True
2021-03-22,21,dswrf,1,1,complete,True,1,0,True
2021-03-22,21,u10,1,1,complete,True,1,0,True
2021-03-22,21,u100,1,1,complete,True,1,0,True
2021-03-22,21,v10,1,1,complete,True,1,0,True
2021-03-22,21,v100,1,1,complete,True,1,0,True
2021-03-22,24,dswrf,1,1,complete,True,1,0,True
2021-03-22,24,u10,1,1,complete,True,1,0,True
2021-03-22,24,u100,1,1,complete,True,1,0,True
2021-03-22,24,v10,1,1,complete,True,1,0,True
2021-03-22,24,v100,1,1,complete,True,1,0,True
2021-03-22,27,dswrf,1,1,complete,True,1,0,True
2021-03-22,27,u10,1,1,complete,True,1,0,True
2021-03-22,27,u100,1,1,complete,True,1,0,True
2021-03-22,27,v10,1,1,complete,True,1,0,True
2021-03-22,27,v100,1,1,complete,True,1,0,True
2021-03-22,30,dswrf,1,1,complete,True,1,0,True
2021-03-22,30,u10,1,1,complete,True,1,0,True
2021-03-22,30,u100,1,1,complete,True,1,0,True
2021-03-22,30,v10,1,1,complete,True,1,0,True
2021-03-22,30,v100,1,1,complete,True,1,0,True
2021-03-22,33,dswrf,1,1,complete,True,1,0,True
2021-03-22,33,u10,1,1,complete,True,1,0,True
2021-03-22,33,u100,1,1,complete,True,1,0,True
2021-03-22,33,v10,1,1,complete,True,1,0,True
2021-03-22,33,v100,1,1,complete,True,1,0,True
2021-03-22,36,dswrf,1,1,complete,True,1,0,True
2021-03-22,36,u10,1,1,complete,True,1,0,True
2021-03-22,36,u100,1,1,complete,True,1,0,True
2021-03-22,36,v10,1,1,complete,True,1,0,True
2021-03-22,36,v100,1,1,complete,True,1,0,True
2021-03-22,39,dswrf,1,1,complete,True,1,0,True
2021-03-22,39,u10,1,1,complete,True,1,0,True
2021-03-22,39,u100,1,1,complete,True,1,0,True
2021-03-22,39,v10,1,1,complete,True,1,0,True
2021-03-22,39,v100,1,1,complete,True,1,0,True
2021-03-22,42,dswrf,1,1,complete,True,1,0,True
2021-03-22,42,u10,1,1,complete,True,1,0,True
2021-03-22,42,u100,1,1,complete,True,1,0,True
2021-03-22,42,v10,1,1,complete,True,1,0,True
2021-03-22,42,v100,1,1,complete,True,1,0,True
2021-03-22,45,dswrf,1,1,complete,True,1,0,True
2021-03-22,45,u10,1,1,complete,True,1,0,True
2021-03-22,45,u100,1,1,complete,True,1,0,True
2021-03-22,45,v10,1,1,complete,True,1,0,True
2021-03-22,45,v100,1,1,complete,True,1,0,True
2021-03-22,48,dswrf,1,1,complete,True,1,0,True
2021-03-22,48,u10,1,1,complete,True,1,0,True
2021-03-22,48,u100,1,1,complete,True,1,0,True
2021-03-22,48,v10,1,1,complete,True,1,0,True
2021-03-22,48,v100,1,1,complete,True,1,0,True
2021-03-23,21,dswrf,2,2,complete,True,2,0,True
2021-03-23,21,u10,2,2,complete,True,2,0,True
2021-03-23,21,u100,2,2,complete,True,2,0,True
2021-03-23,21,v10,2,2,complete,True,2,0,True
2021-03-23,21,v100,2,2,complete,True,2,0,True
2021-03-23,24,dswrf,2,2,complete,True,2,0,True
2021-03-23,24,u10,2,2,complete,True,2,0,True
2021-03-23,24,u100,2,2,complete,True,2,0,True
2021-03-23,24,v10,2,2,complete,True,2,0,True
2021-03-23,24,v100,2,2,complete,True,2,0,True
2021-03-23,27,dswrf,1,1,complete,True,1,0,True
2021-03-23,27,u10,1,1,complete,True,1,0,True
2021-03-23,27,u100,1,1,complete,True,1,0,True
2021-03-23,27,v10,1,1,complete,True,1,0,True
2021-03-23,27,v100,1,1,complete,True,1,0,True
2021-03-23,30,dswrf,1,1,complete,True,1,0,True
2021-03-23,30,u10,1,1,complete,True,1,0,True
2021-03-23,30,u100,1,1,complete,True,1,0,True
2021-03-23,30,v10,1,1,complete,True,1,0,True
2021-03-23,30,v100,1,1,complete,True,1,0,True
2021-03-23,33,dswrf,1,1,complete,True,1,0,True
2021-03-23,33,u10,1,1,complete,True,1,0,True
2021-03-23,33,u100,1,1,complete,True,1,0,True
2021-03-23,33,v10,1,1,complete,True,1,0,True
2021-03-23,33,v100,1,1,complete,True,1,0,True
2021-03-23,36,dswrf,1,1,complete,True,1,0,True
2021-03-23,36,u10,1,1,complete,True,1,0,True
2021-03-23,36,u100,1,1,complete,True,1,0,True
2021-03-23,36,v10,1,1,complete,True,1,0,True
2021-03-23,36,v100,1,1,complete,True,1,0,True
2021-03-23,39,dswrf,1,1,complete,True,1,0,True
2021-03-23,39,u10,1,1,complete,True,1,0,True
2021-03-23,39,u100,1,1,complete,True,1,0,True
2021-03-23,39,v10,1,1,complete,True,1,0,True
2021-03-23,39,v100,1,1,complete,True,1,0,True
2021-03-23,42,dswrf,1,1,complete,True,1,0,True
2021-03-23,42,u10,1,1,complete,True,1,0,True
2021-03-23,42,u100,1,1,complete,True,1,0,True
2021-03-23,42,v10,1,1,complete,True,1,0,True
2021-03-23,42,v100,1,1,complete,True,1,0,True
2021-03-23,45,dswrf,1,1,complete,True,1,0,True
2021-03-23,45,u10,1,1,complete,True,1,0,True
2021-03-23,45,u100,1,1,complete,True,1,0,True
2021-03-23,45,v10,1,1,complete,True,1,0,True
2021-03-23,45,v100,1,1,complete,True,1,0,True
2021-03-23,48,dswrf,1,1,complete,True,1,0,True
2021-03-23,48,u10,1,1,complete,True,1,0,True
2021-03-23,48,u100,1,1,complete,True,1,0,True
2021-03-23,48,v10,1,1,complete,True,1,0,True
2021-03-23,48,v100,1,1,complete,True,1,0,True
2022-08-25,21,dswrf,1,1,incomplete,True,1,2,True
2022-08-25,21,u10,1,1,incomplete,True,1,2,True
